Race,Place,Pl.AC,Number,Nationality,AC,Swim,T1,Bike,T2,Run,Finish
2009,72,22,11001,GER,MAK3,00:24:45,00:04:50,01:06:11,00:02:42,00:39:48,02:18:14
2009,1139,287,11003,GER,MSEN1,00:34:54,00:08:20,01:08:31,00:03:36,00:48:20,02:43:38
2009,1205,307,11004,GER,MSEN1,00:31:13,00:06:27,01:14:50,00:03:21,00:48:56,02:44:43
2009,292,65,11006,GER,MAK4,00:26:16,00:04:54,01:09:28,00:03:09,00:43:57,02:27:43
2009,603,9,11011,GER,MJUN,00:26:17,00:05:21,01:13:22,00:03:41,00:45:56,02:34:34
2009,2153,326,11012,GER,MSEN2,00:32:48,00:06:54,01:19:03,00:03:50,00:59:28,03:02:02
2009,1251,272,11013,GER,MAK4,00:34:12,00:06:06,01:14:53,00:03:16,00:47:01,02:45:25
2009,376,5,11014,GER,MJUN,00:23:09,00:04:15,01:16:23,00:02:40,00:43:22,02:29:46
2009,2616,521,11015,GER,MAK4,00:44:08,00:10:52,01:21:30,00:05:10,01:06:33,03:28:11
2009,2615,18,11016,GER,MJUN,00:41:31,00:16:48,01:24:03,00:05:30,01:00:20,03:28:11
2009,1690,358,11018,GER,MAK4,00:33:15,00:08:09,01:17:06,00:04:39,00:49:08,02:52:15
2009,2035,367,11019,GER,MAK3,00:31:15,00:07:15,01:20:05,00:04:34,00:55:35,02:58:42
2009,1008,210,11021,GER,MAK4,00:27:33,00:05:31,01:17:11,00:03:30,00:47:27,02:41:11
2009,2595,17,11022,GER,MJUN,00:37:43,00:06:12,01:24:57,00:04:09,01:12:19,03:25:18
2009,1643,58,11023,GER,MSEN3,00:30:46,00:06:37,01:20:55,00:03:06,00:49:57,02:51:19
2009,2536,16,11024,GER,MJUN,00:37:28,00:07:25,01:26:03,00:04:10,01:04:24,03:19:28
2009,335,4,11026,GER,MJUN,00:24:44,00:04:43,01:08:23,00:02:47,00:48:15,02:28:51
2009,350,35,11027,GER,MSEN2,00:28:38,00:06:03,01:09:39,00:03:06,00:41:44,02:29:09
2009,652,10,11029,GER,MJUN,00:24:53,00:05:29,01:11:07,00:02:57,00:51:15,02:35:39
2009,1271,39,11030,GER,MSEN3,00:30:16,00:05:49,01:15:57,00:03:25,00:50:16,02:45:41
2009,1001,12,11034,GER,MJUN,00:29:52,00:06:35,01:12:36,00:03:38,00:48:28,02:41:06
2009,165,2,11035,GER,MJUN,00:28:13,00:05:08,01:05:36,00:02:36,00:41:50,02:23:21
2009,407,45,11036,GER,MSEN2,00:28:05,00:05:35,01:10:39,00:03:17,00:43:03,02:30:37
2009,2502,372,11037,GER,MSEN2,00:33:08,00:06:05,01:23:04,00:05:46,01:09:01,03:17:01
2009,2135,322,11038,GER,MSEN2,00:33:40,00:06:34,01:21:58,00:04:08,00:55:08,03:01:27
2009,816,98,11039,GER,MAK2,00:30:00,00:04:56,01:10:31,00:03:28,00:49:30,02:38:24
2009,1548,226,11040,GER,MSEN2,00:31:47,00:05:40,01:19:24,00:03:03,00:50:01,02:49:54
2009,1136,151,11041,GER,MSEN2,00:29:45,00:05:17,01:13:06,00:03:25,00:52:05,02:43:35
2009,565,7,11042,GER,MJUN,00:24:30,00:04:51,01:14:49,00:03:08,00:46:35,02:33:52
2009,1988,89,11043,GER,MSEN3,00:34:04,00:06:04,01:19:23,00:03:40,00:54:35,02:57:44
2009,2435,127,11044,GER,MSEN3,00:31:07,00:06:37,01:24:18,00:04:35,01:05:51,03:12:26
2009,698,11,11046,GER,MJUN,00:24:22,00:04:51,01:15:26,00:03:41,00:48:06,02:36:24
2009,825,102,11047,GER,MSEN2,00:27:48,00:04:39,01:13:03,00:03:18,00:49:45,02:38:31
2009,589,8,11048,GER,MJUN,00:28:00,00:06:35,01:12:59,00:04:08,00:42:40,02:34:20
2009,752,95,11049,GER,MSEN2,00:29:24,00:05:57,01:15:26,00:02:58,00:43:29,02:37:12
2009,732,30,11050,GER,MAK1,00:31:23,00:05:06,01:07:00,00:03:06,00:50:15,02:36:49
2009,420,6,11051,GER,MJUN,00:26:10,00:05:04,01:12:49,00:03:18,00:43:35,02:30:55
2009,25,4,11052,GER,MAK1,00:23:33,00:04:19,01:04:11,00:02:51,00:38:56,02:13:49
2009,1656,15,11053,GER,MJUN,00:32:17,00:06:15,01:13:37,00:04:10,00:55:16,02:51:33
