swim,bike,run
14.6694,47.1251,38.2055
19.2473,47.4653,33.2874
20.2119,47.1382,32.6499
17.7642,55.5692,26.6667
20.3598,42.6012,37.0390
22.3413,47.4243,30.2343
24.9079,43.1820,31.9101
18.2497,44.3351,37.4152
19.9909,48.1256,31.8835
22.5241,46.6529,30.8230
21.9739,45.9161,32.1100
18.6116,51.2094,30.1791
20.6076,43.2537,36.1387
18.8320,46.9478,34.2202
19.9459,46.7611,33.2929
19.6272,49.4797,30.8931
23.9670,46.0098,30.0232
22.0560,45.8926,32.0514
19.0361,45.5753,35.3886
22.9613,44.2259,32.8128
23.7592,47.1501,29.0907
23.1482,47.8831,28.9687
19.2018,46.9193,33.8789
20.5928,46.2998,33.1074
22.8112,42.4497,34.7392
19.4546,50.0384,30.5070
18.9136,49.3929,31.6935
24.1719,44.3690,31.4590
20.1336,43.2731,36.5933
20.5761,46.4599,32.9641
19.6384,48.1715,32.1901
18.1538,47.2996,34.5466
23.8177,46.6621,29.5202
22.6240,44.1707,33.2053
17.1943,44.7844,38.0213
22.2972,46.8273,30.8755
21.6827,48.2408,30.0766
22.2022,44.4216,33.3761
17.6251,47.9997,34.3753
23.0696,48.6876,28.2428
19.0258,45.4580,35.5162
21.1770,40.9471,37.8759
21.9257,49.1893,28.8850
26.0442,42.9929,30.9629
22.2415,47.0703,30.6882
21.5837,48.2667,30.1496
23.3932,49.0685,27.5383
29.7397,42.6616,27.5987
18.6524,45.7711,35.5765
15.0829,46.9371,37.9800
22.6934,46.3070,30.9996
18.3011,45.0017,36.6972
23.1156,47.8662,29.0182
24.9388,44.0833,30.9780
18.7924,50.2744,30.9331
19.9454,47.9706,32.0840
20.8943,46.7528,32.3529
17.3587,46.2720,36.3693
19.9095,47.9695,32.1210
21.2334,44.6772,34.0894
21.0130,48.7365,30.2506
20.0459,45.2685,34.6856
16.5529,46.0716,37.3755
25.4660,42.2490,32.2850
26.0504,46.3507,27.5989
19.6413,47.2875,33.0712
21.1674,46.6337,32.1989
18.6337,47.4433,33.9229
21.4770,45.5573,32.9657
18.5120,45.2761,36.2120
19.3009,46.8169,33.8822
21.6131,50.1488,28.2381
18.1308,47.3182,34.5510
24.6235,40.9471,34.4295
21.0930,46.5368,32.3702
17.2587,43.3730,39.3683
19.7281,47.1805,33.0914
19.9978,49.6908,30.3114
20.3220,47.9583,31.7196
22.0996,45.9230,31.9774
25.0535,47.0211,27.9255
19.3714,54.8373,25.7914
19.1775,51.9397,28.8828
42.0599,33.1221,24.8180
21.1625,48.6220,30.2155
16.6701,48.9265,34.4034
19.7705,47.9321,32.2974
17.3586,53.5599,29.0815
23.5838,47.0889,29.3273
18.1255,46.8175,35.0570
23.9922,47.9064,28.1014
17.9166,50.3163,31.7671
23.0697,46.6410,30.2892
21.2176,48.4815,30.3009
19.5862,49.2665,31.1474
18.0904,49.2298,32.6798
19.5352,46.0735,34.3913
19.0567,49.7652,31.1782
20.0956,49.1748,30.7296
18.3138,48.6400,33.0462
25.7205,43.3145,30.9650
19.6431,50.6246,29.7323
18.5464,52.6280,28.8256
23.6633,48.6235,27.7132
11.3612,50.6101,38.0286
20.7799,46.7932,32.4269
16.4933,51.1444,32.3623
19.2513,49.5150,31.2338
19.0502,50.6242,30.3256
19.3265,51.3158,29.3577
29.7007,39.4060,30.8933
16.1990,42.3907,41.4103
18.0649,50.5714,31.3636
20.1752,47.8976,31.9272
21.4007,49.6169,28.9824
18.6041,51.9587,29.4373
19.1279,48.3299,32.5422
18.6815,52.1279,29.1906
17.9038,51.0842,31.0120
17.2489,51.1166,31.6345
16.2097,53.6962,30.0941
20.6119,49.4791,29.9090
20.6053,50.5000,28.8947
18.2433,51.8744,29.8823
17.4156,55.2114,27.3730
18.1909,49.7369,32.0723
21.3749,47.8009,30.8242
19.6657,50.6942,29.6401
17.7919,51.0950,31.1131
16.3798,52.6978,30.9224
23.0947,46.8238,30.0816
20.2026,48.8200,30.9774
17.6719,51.0508,31.2773
21.8623,48.9075,29.2302
21.2042,47.3062,31.4897
19.7531,49.5324,30.7146
18.9418,50.1458,30.9124
18.5787,49.9285,31.4928
16.7311,51.9696,31.2992
22.1709,47.9640,29.8651
18.6912,50.9131,30.3957
20.0027,49.3052,30.6921
19.3119,50.2220,30.4661
19.9825,47.7749,32.2426
18.0215,51.4901,30.4883
19.5066,52.6076,27.8858
22.7196,48.1067,29.1737
16.5213,53.0660,30.4127
22.8148,47.8591,29.3261
20.0848,48.0790,31.8362
22.3739,48.3619,29.2642
21.9731,49.1249,28.9019
19.6703,51.1875,29.1422
19.1321,51.2282,29.6397
18.4307,50.4972,31.0721
18.8120,49.3428,31.8452
19.5982,50.6920,29.7098
23.6461,48.2658,28.0881
17.9052,51.3274,30.7674
19.6313,51.9086,28.4601
18.2195,51.2718,30.5087
18.4538,50.5715,30.9747
22.5872,49.0578,28.3550
22.4927,47.5048,30.0024
21.7547,48.0312,30.2142
17.1563,53.0804,29.7633
22.2945,48.3920,29.3134
17.8987,52.1187,29.9826
21.6332,48.2267,30.1401
19.0442,49.4982,31.4576
19.9201,50.6957,29.3842
20.4487,49.2094,30.3419
19.5333,49.8066,30.6601
17.6253,50.6888,31.6858
21.6764,46.8911,31.4325
20.5187,49.5092,29.9721
19.1958,48.2236,32.5806
18.8728,49.5146,31.6126
17.1886,50.6193,32.1921
15.9523,53.1744,30.8733
18.1132,48.7673,33.1195
19.6378,50.7286,29.6337
19.9646,48.1722,31.8632
19.4660,49.9065,30.6275
20.2530,50.7073,29.0397
17.2030,52.8853,29.9117
18.1978,50.2631,31.5392
18.1744,53.1156,28.7100
19.6364,49.3750,30.9886
19.7835,47.2163,33.0002
18.9809,49.1322,31.8869
18.4439,53.9537,27.6024
14.0859,45.7791,40.1350
20.4771,50.1072,29.4157
22.2147,46.2617,31.5236
21.6170,49.7018,28.6812
17.8567,51.0980,31.0454
18.5219,51.4859,29.9922
17.8302,50.8596,31.3102
20.7936,48.6423,30.5642
22.7498,47.2785,29.9717
17.9368,51.4120,30.6512
21.6943,48.5732,29.7325
23.3694,47.9466,28.6840
23.0292,48.0989,28.8720
20.1519,47.4917,32.3564
17.0246,52.8481,30.1273
17.2762,51.7860,30.9378
21.6609,49.9754,28.3637
18.5045,48.8606,32.6348
20.1955,50.4704,29.3341
21.9086,48.4360,29.6554
17.3702,52.0157,30.6142
21.4054,47.4413,31.1533
18.6277,52.0772,29.2951
19.6201,48.6451,31.7349
18.8797,51.3686,29.7518
20.0390,47.6944,32.2666
21.5611,48.3642,30.0747
20.3627,48.6198,31.0175
18.7080,49.8286,31.4634
18.9506,49.8948,31.1547
20.5701,48.5192,30.9107
20.1219,49.6283,30.2498
22.5089,48.4615,29.0296
23.4567,46.6287,29.9146
19.7589,49.0990,31.1421
18.5277,49.8259,31.6464
21.8663,46.3536,31.7801
21.7351,48.4297,29.8351
18.8080,49.1486,32.0433
18.3534,48.9930,32.6536
24.6693,44.2510,31.0797
22.0373,48.4953,29.4674
18.0585,50.8612,31.0804
18.3547,51.5873,30.0579
18.7850,50.6894,30.5256
17.5653,51.7551,30.6796
19.3135,50.2946,30.3919
18.6983,50.5682,30.7335
23.8928,46.2471,29.8601
19.0736,51.7575,29.1689
19.6404,50.8224,29.5372
19.4983,52.1492,28.3525
16.8689,53.7551,29.3761
18.1507,50.8562,30.9932
19.1353,48.9639,31.9007
22.0444,47.8476,30.1079
22.1130,46.1175,31.7695
15.2038,52.8615,31.9347
21.5813,47.4388,30.9800
19.2183,49.6819,31.0999
18.5331,49.9388,31.5281
17.2541,50.9307,31.8152
20.9123,48.6149,30.4729
22.1009,45.6103,32.2887
19.1042,51.0262,29.8696
19.3489,49.3568,31.2943
22.1633,47.9530,29.8838
18.6758,49.7094,31.6149
16.5039,51.9280,31.5681
19.4377,50.3274,30.2349
15.5806,50.0127,34.4067
21.7064,48.6324,29.6612
21.9030,50.0798,28.0172
20.2893,49.6451,30.0656
17.0719,50.8968,32.0314
23.8960,47.3566,28.7474
21.6953,47.2792,31.0255
16.0455,52.5889,31.3656
19.5813,49.9937,30.4250
20.3898,48.1384,31.4718
15.9758,50.8751,33.1491
20.6222,48.5159,30.8618
21.9476,48.3350,29.7174
19.7593,50.1256,30.1151
15.2765,50.8273,33.8962
20.7255,48.3635,30.9111
18.7391,50.4013,30.8596
23.6036,49.1428,27.2536
16.8056,52.9583,30.2361
16.2633,52.2006,31.5361
20.9251,49.4137,29.6611
21.8061,47.6013,30.5926
20.4895,47.3379,32.1726
19.3442,48.7753,31.8804
19.2739,49.7542,30.9719
20.5552,47.0944,32.3504
20.9817,49.2421,29.7762
20.0374,52.8947,27.0680
25.6951,46.5216,27.7833
16.0529,53.5054,30.4416
20.8360,47.4541,31.7099
18.3353,53.1879,28.4768
19.2965,50.6432,30.0603
20.5304,48.4540,31.0155
18.8372,49.1036,32.0593
21.7031,46.6588,31.6381
15.1968,52.5244,32.2789
22.0141,48.7412,29.2447
21.9760,48.1342,29.8898
17.7127,52.1269,30.1604
16.5736,52.1814,31.2450
16.4254,49.2103,34.3643
20.7995,46.8891,32.3114
21.0288,49.4165,29.5547
16.9580,51.8424,31.1996
19.1777,51.1493,29.6729
21.3311,47.3033,31.3655
21.5137,47.1126,31.3737
23.3337,45.8588,30.8074
18.8137,50.1879,30.9984
21.3881,45.1740,33.4379
22.0800,46.5827,31.3373
18.1427,50.0326,31.8247
20.5792,49.3110,30.1097
17.4847,50.4401,32.0752
18.6966,50.1248,31.1786
20.4223,49.1590,30.4187
22.3217,46.2759,31.4023
17.6341,49.7793,32.5866
21.3623,44.6620,33.9757
12.7632,64.8545,22.3823
19.1998,49.7180,31.0822
15.2222,63.2397,21.5382
20.7709,48.5259,30.7032
20.5417,48.5382,30.9201
20.6447,46.5146,32.8407
22.3508,48.3456,29.3036
17.8443,50.2909,31.8648
19.4800,50.2980,30.2219
18.4021,50.5112,31.0867
20.7032,49.4549,29.8420
20.8841,47.0216,32.0943
18.9044,50.8408,30.2549
20.2900,49.7226,29.9874
19.3049,50.0774,30.6177
19.4914,49.9107,30.5979
16.6529,52.1745,31.1726
19.6760,49.4952,30.8288
18.3373,47.8860,33.7767
15.3754,53.2380,31.3866
18.9689,51.0167,30.0144
21.2512,48.1318,30.6170
20.3826,50.0688,29.5486
19.0666,49.9626,30.9708
19.3094,49.0977,31.5929
20.1342,49.3973,30.4685
20.5930,48.8697,30.5374
16.7036,49.2850,34.0113
18.4420,50.4219,31.1361
24.0978,47.8120,28.0902
18.8089,49.5419,31.6493
18.5175,50.6374,30.8451
19.3142,50.3572,30.3286
20.1314,50.8657,29.0029
17.7462,52.2552,29.9986
17.1318,50.7709,32.0973
17.6291,50.5482,31.8226
20.9815,47.7596,31.2589
22.0677,48.3741,29.5582
18.3449,48.9852,32.6699
16.5797,50.5966,32.8238
20.4658,48.0302,31.5040
19.1146,48.3537,32.5318
21.0456,46.8947,32.0597
19.1560,49.9450,30.8991
19.9509,49.4847,30.5644
17.3211,51.5177,31.1612
21.8412,47.7308,30.4281
16.1444,52.3351,31.5205
24.8964,45.5288,29.5748
20.5071,48.3488,31.1441
20.3546,48.1419,31.5035
19.5914,48.7600,31.6486
22.5847,47.9025,29.5127
18.0836,50.1662,31.7502
18.4535,50.5898,30.9567
18.3308,46.1086,35.5607
20.3479,47.4409,32.2112
21.8922,46.7782,31.3297
